epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74148,2.16982,4.83798,2.48054,0.01111,1,0.199,0.0745,1.09495,3.62146,2.47692,1.429e-05,1.429e-05,1.429e-05
2,3.26798,3.51809,5.62738,3.55635,0.01124,1,0.199,0.0929,0.91296,3.60018,2.36348,4.24456e-05,4.24456e-05,4.24456e-05
3,4.64503,2.27492,4.54309,3.02499,0.01124,1,0.199,0.0929,0.91296,3.60018,2.36348,7.00353e-05,7.00353e-05,7.00353e-05
4,6.15916,1.66412,4.26992,2.53254,0.01176,1,0.995,0.796,0.90795,3.62943,2.47022,9.70591e-05,9.70591e-05,9.70591e-05
5,7.6403,1.19157,4.18071,2.30438,0.01176,1,0.995,0.796,0.90795,3.62943,2.47022,0.000123517,0.000123517,0.000123517
6,9.09882,1.76833,4.27176,2.81099,0.01149,1,0.995,0.597,1.08789,3.73611,2.55778,0.000149409,0.000149409,0.000149409
7,10.5295,1.0612,3.95295,2.15236,0.01149,1,0.995,0.597,1.08789,3.73611,2.55778,0.000174735,0.000174735,0.000174735
8,11.9571,1.78237,4.07907,2.45716,0.01149,1,0.995,0.597,1.08789,3.73611,2.55778,0.000199496,0.000199496,0.000199496
9,13.6108,1.41682,3.85182,1.83873,0.01031,1,0.995,0.597,1.00318,3.5715,2.46598,0.00022369,0.00022369,0.00022369
10,15.0527,0.89377,3.53806,1.80665,0.01031,1,0.995,0.597,1.00318,3.5715,2.46598,0.000247318,0.000247318,0.000247318
11,16.4919,0.99078,3.54027,1.75496,0.01031,1,0.995,0.597,1.00318,3.5715,2.46598,0.000270381,0.000270381,0.000270381
12,17.9673,0.77194,3.52079,1.7807,0.01031,1,0.995,0.597,1.00318,3.5715,2.46598,0.000292878,0.000292878,0.000292878
13,19.4318,1.26195,3.24325,1.93546,0.01031,1,0.995,0.597,1.0629,3.46229,2.41143,0.000314809,0.000314809,0.000314809
14,20.9061,0.81927,3.22593,1.62604,0.01031,1,0.995,0.597,1.0629,3.46229,2.41143,0.000336174,0.000336174,0.000336174
15,22.421,0.64107,2.99356,1.50486,0.01031,1,0.995,0.597,1.0629,3.46229,2.41143,0.000356973,0.000356973,0.000356973
